claim_id,policy_number,claim_amount,age_of_driver,gender,marital_status,annual_income,education_level,occupation,vehicle_age,vehicle_category,accident_site,witness_present,police_report,past_claims,claim_description,fraud_reported
CLM_000027,POL_850800,1009.2853892339359,76,M,Single,20000.0,Bachelor,Doctor,7,Luxury,Highway,1,1,3,Claiming pre-existing damage as accident-related repairs,1
CLM_000028,POL_781453,12978.301535634853,24,M,Single,41549.0,Bachelor,Retired,2,Mid-size,Rural,0,0,0,Expensive medical treatment sought immediately after minor fender bender,1
CLM_000029,POL_835392,1210.81,28,F,Single,74894.0,High School,Business,14,Compact,Parking Lot,1,0,1,Hail damage to vehicle roof and windows during severe storm,0
CLM_000030,POL_671412,1924.57,37,F,Widowed,20000.0,PhD,Other,15,Large,Highway,1,0,0,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000031,POL_539898,1208.87,33,F,Single,72524.0,Bachelor,Other,3,Mid-size,Parking Lot,1,1,1,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000032,POL_331148,47974.13,21,F,Widowed,44526.0,PhD,Other,5,Compact,Highway,1,1,1,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000033,POL_571029,2921.21,23,M,Single,59743.0,Bachelor,Student,0,Large,City,1,1,0,Theft of vehicle contents including electronics and personal items,0
CLM_000034,POL_717889,609.98,75,M,Single,63150.0,Bachelor,Other,3,Mid-size,Highway,1,1,3,Theft of vehicle contents including electronics and personal items,0
CLM_000035,POL_391704,10237.55,39,M,Married,58828.0,PhD,Student,10,Mid-size,City,1,1,1,Theft of vehicle contents including electronics and personal items,0
CLM_000036,POL_948749,812.8357834409833,43,F,Divorced,32701.0,Bachelor,Retired,11,Large,Highway,1,0,3,"Vehicle completely destroyed in minor collision, claiming total loss",1
CLM_000037,POL_106814,4077.73,20,M,Widowed,42709.0,PhD,Doctor,4,Mid-size,Highway,1,1,3,"Tree fell on parked car during windstorm, roof damage",0
CLM_000038,POL_895667,359.1600480569147,58,F,Married,20769.0,High School,Teacher,15,Sports,Rural,0,1,2,Medical bills submitted from out-of-network providers at inflated rates,1
CLM_000039,POL_944962,406.56,77,M,Single,59836.0,PhD,Student,12,Large,Parking Lot,0,1,3,Hail damage to vehicle roof and windows during severe storm,0
CLM_000040,POL_267414,10621.624906427938,59,F,Widowed,84041.0,High School,Other,12,Mid-size,Parking Lot,1,1,2,Medical bills submitted from out-of-network providers at inflated rates,1
CLM_000041,POL_832052,9024.51,31,F,Single,20000.0,Bachelor,Other,16,Compact,Parking Lot,1,1,2,"Collision with deer on rural highway, front end damage",0
CLM_000042,POL_543143,3854.72,28,M,Divorced,34767.0,PhD,Engineer,6,Compact,Highway,1,0,2,Hail damage to vehicle roof and windows during severe storm,0
CLM_000043,POL_456778,2506.21,35,F,Married,46364.0,Bachelor,Other,7,Sports,Highway,0,1,2,Hail damage to vehicle roof and windows during severe storm,0
CLM_000044,POL_391369,1897.6,71,F,Divorced,53467.0,PhD,Doctor,12,Large,Highway,0,1,2,Hail damage to vehicle roof and windows during severe storm,0
CLM_000045,POL_263032,324.48,29,M,Married,67584.0,High School,Business,15,Mid-size,City,0,0,3,"Minor collision in parking garage, exchanged insurance information",0
CLM_000046,POL_325772,1012.56,40,F,Single,46956.0,High School,Business,3,Mid-size,City,0,1,1,Hail damage to vehicle roof and windows during severe storm,0
CLM_000047,POL_900581,1493.75,29,F,Divorced,43681.0,PhD,Other,7,Compact,Rural,0,1,2,"Door ding in parking lot, small dent and paint scratch",0
CLM_000048,POL_452944,14554.91,30,F,Divorced,72063.0,High School,Engineer,15,Sports,Highway,1,0,2,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000049,POL_207175,4991.18,42,M,Single,63240.0,Bachelor,Student,9,Compact,Parking Lot,1,0,2,"Collision with deer on rural highway, front end damage",0
CLM_000050,POL_197251,211.76,62,M,Divorced,60780.0,Bachelor,Doctor,11,Compact,Parking Lot,1,0,2,"Tree fell on parked car during windstorm, roof damage",0
CLM_000051,POL_498382,4847.05,68,F,Widowed,52250.0,Master,Engineer,11,Sports,Rural,1,1,1,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000052,POL_201414,1673.0,75,M,Married,69663.0,High School,Student,4,Large,Parking Lot,1,0,0,"Door ding in parking lot, small dent and paint scratch",0
CLM_000053,POL_476417,1079.89,36,F,Married,36874.0,Bachelor,Doctor,15,Mid-size,Rural,0,1,2,"Minor collision in parking garage, exchanged insurance information",0
CLM_000054,POL_988662,7461.52,72,F,Married,34146.0,PhD,Other,0,Large,Highway,0,0,0,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000055,POL_460663,13995.61,63,F,Widowed,64922.0,High School,Business,8,Luxury,Parking Lot,1,1,2,"Door ding in parking lot, small dent and paint scratch",0
CLM_000056,POL_733052,12051.21,53,F,Married,20000.0,Bachelor,Doctor,11,Luxury,Highway,1,1,2,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000057,POL_377370,846.55,62,F,Single,51844.0,High School,Other,4,Luxury,City,1,1,1,Theft of vehicle contents including electronics and personal items,0
CLM_000058,POL_946335,1874.66,25,M,Divorced,43669.0,PhD,Retired,19,Sports,Parking Lot,1,0,2,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000059,POL_145561,4899.53,46,F,Widowed,21885.0,Bachelor,Teacher,2,Compact,City,1,1,2,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000060,POL_865179,22491.68723737691,72,M,Married,31375.0,Master,Doctor,4,Large,Parking Lot,1,1,0,Claiming luxury vehicle repairs for standard model car,1
CLM_000061,POL_581741,1452.79,70,M,Single,47820.0,Master,Teacher,1,Mid-size,Highway,1,1,0,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000062,POL_662275,2256.37,72,F,Divorced,70679.0,High School,Doctor,13,Luxury,Rural,1,1,3,"Tree fell on parked car during windstorm, roof damage",0
CLM_000063,POL_230889,567.08,49,F,Divorced,36941.0,PhD,Teacher,1,Large,Highway,1,1,3,"Minor collision in parking garage, exchanged insurance information",0
CLM_000064,POL_496922,495.56,68,M,Widowed,74268.0,Bachelor,Retired,12,Luxury,Highway,1,1,0,"Door ding in parking lot, small dent and paint scratch",0
CLM_000065,POL_182627,10084.84,61,M,Widowed,51264.0,PhD,Business,6,Luxury,Highway,0,0,2,"Door ding in parking lot, small dent and paint scratch",0
CLM_000066,POL_678856,22796.45,35,M,Widowed,76208.0,Bachelor,Student,9,Mid-size,Parking Lot,1,1,1,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000067,POL_407419,2675.75,23,F,Single,37910.0,High School,Teacher,12,Sports,Rural,1,1,2,"Collision with deer on rural highway, front end damage",0
CLM_000068,POL_969693,35321.28062642137,35,M,Single,49024.0,Bachelor,Retired,15,Compact,City,1,1,2,Inconsistent witness statements and conflicting accident details,1
CLM_000069,POL_759176,5127.91,36,F,Widowed,57370.0,PhD,Teacher,13,Sports,Highway,1,1,0,Theft of vehicle contents including electronics and personal items,0
CLM_000070,POL_748564,2991.572263106532,39,F,Married,46410.0,PhD,Business,10,Large,Parking Lot,1,1,2,"Suspicious timing of accident report, filed weeks after alleged incident",1
CLM_000071,POL_479201,5126.06,54,F,Divorced,69060.0,High School,Teacher,9,Sports,City,1,1,1,Hail damage to vehicle roof and windows during severe storm,0
CLM_000072,POL_705397,47606.26622874344,49,M,Divorced,20000.0,PhD,Retired,5,Large,Highway,1,0,3,Claiming pre-existing damage as accident-related repairs,1
CLM_000073,POL_301629,2824.99,73,F,Single,98448.0,Bachelor,Other,3,Large,City,1,1,1,"Minor collision in parking garage, exchanged insurance information",0
CLM_000074,POL_838797,31162.34,58,F,Divorced,67155.0,High School,Retired,0,Compact,Highway,0,1,1,Hail damage to vehicle roof and windows during severe storm,0
CLM_000075,POL_172933,58.58,76,F,Married,46529.0,Bachelor,Engineer,6,Mid-size,City,1,1,1,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000076,POL_148050,10227.69,20,F,Divorced,38954.0,PhD,Business,8,Compact,City,1,0,0,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000077,POL_793384,5190.81820769006,45,F,Single,32672.0,High School,Other,7,Sports,Rural,0,1,4,Claiming luxury vehicle repairs for standard model car,1
CLM_000078,POL_338968,1903.57,27,M,Single,62912.0,Bachelor,Engineer,4,Large,Rural,0,1,1,"Tree fell on parked car during windstorm, roof damage",0
CLM_000079,POL_910620,3420.84,68,F,Married,69900.0,PhD,Business,18,Luxury,Highway,1,1,1,Theft of vehicle contents including electronics and personal items,0
CLM_000080,POL_403445,447.7181591092124,52,F,Married,46749.0,PhD,Other,9,Luxury,Parking Lot,1,1,1,Multiple injuries reported for single occupant in low-speed accident,1
CLM_000081,POL_183667,2144.14,78,M,Divorced,72140.0,Master,Teacher,10,Large,Rural,1,1,3,Theft of vehicle contents including electronics and personal items,0
CLM_000082,POL_996865,5093.24,46,F,Divorced,31855.0,PhD,Other,14,Compact,City,0,1,3,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000083,POL_344098,27360.1,71,M,Single,28324.0,Bachelor,Retired,5,Mid-size,Rural,1,1,2,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000084,POL_205907,1370.04,32,F,Married,86267.0,High School,Engineer,14,Compact,Rural,1,1,2,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000085,POL_498591,886.48,50,M,Married,61822.0,Master,Teacher,4,Large,Highway,0,1,2,Hail damage to vehicle roof and windows during severe storm,0
CLM_000086,POL_391476,1404.4,24,M,Married,77937.0,PhD,Retired,18,Large,Rural,0,1,0,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000087,POL_575435,11767.58,29,F,Divorced,32921.0,PhD,Business,18,Mid-size,Rural,1,1,1,"Door ding in parking lot, small dent and paint scratch",0
CLM_000088,POL_766563,4881.1,66,F,Married,31529.0,PhD,Other,9,Sports,City,1,1,1,Theft of vehicle contents including electronics and personal items,0
CLM_000089,POL_974628,1346.63,47,F,Single,42828.0,Bachelor,Retired,11,Sports,Rural,1,0,1,Hail damage to vehicle roof and windows during severe storm,0
CLM_000090,POL_482554,6437.54,38,M,Single,33519.0,Master,Teacher,3,Mid-size,City,0,0,2,"Collision with deer on rural highway, front end damage",0
CLM_000091,POL_270555,3448.23,48,M,Divorced,64107.0,Bachelor,Engineer,17,Sports,Rural,1,0,0,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000092,POL_488162,12745.93,75,M,Widowed,34977.0,Master,Engineer,15,Luxury,Rural,1,0,2,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000093,POL_472528,1039.94,78,F,Divorced,26567.0,High School,Other,7,Sports,Parking Lot,0,0,1,"Door ding in parking lot, small dent and paint scratch",0
CLM_000094,POL_319684,1823.49,41,M,Widowed,52840.0,Bachelor,Retired,3,Sports,Rural,1,1,0,"Tree fell on parked car during windstorm, roof damage",0
CLM_000095,POL_802729,1655.47,37,M,Married,24200.0,Bachelor,Teacher,11,Sports,City,1,1,2,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000096,POL_379946,331.86,54,F,Divorced,20000.0,High School,Doctor,1,Luxury,City,0,1,1,"Collision with deer on rural highway, front end damage",0
CLM_000097,POL_835911,4647.94,21,M,Single,52665.0,Master,Business,3,Sports,Highway,1,1,2,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000098,POL_816751,4409.79,45,M,Married,20000.0,PhD,Business,4,Luxury,Highway,1,1,1,"Collision with deer on rural highway, front end damage",0
CLM_000099,POL_779514,3003.91,61,F,Single,65506.0,High School,Teacher,2,Mid-size,Parking Lot,1,1,2,Theft of vehicle contents including electronics and personal items,0
CLM_000100,POL_174870,2096.7,79,M,Married,22093.0,PhD,Doctor,8,Compact,City,0,1,2,"Tree fell on parked car during windstorm, roof damage",0
CLM_000101,POL_738720,356.72,37,F,Divorced,20000.0,PhD,Engineer,17,Mid-size,City,0,1,0,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000102,POL_765822,1586.1,77,F,Widowed,44124.0,High School,Other,10,Compact,City,1,0,0,"Collision with deer on rural highway, front end damage",0
CLM_000103,POL_279451,1782.78,41,F,Married,52892.0,Master,Student,2,Mid-size,Parking Lot,1,0,1,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000104,POL_660086,894.79,67,F,Widowed,59830.0,PhD,Student,1,Compact,City,0,1,2,"Tree fell on parked car during windstorm, roof damage",0
CLM_000105,POL_864544,2340.39,66,F,Married,53440.0,High School,Other,8,Compact,Highway,0,0,2,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000106,POL_356702,5464.76,68,M,Single,28814.0,Bachelor,Teacher,13,Large,Parking Lot,0,1,0,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000107,POL_271339,50477.29,49,M,Single,64261.0,Bachelor,Doctor,3,Compact,Highway,1,1,0,"Tree fell on parked car during windstorm, roof damage",0
CLM_000108,POL_584714,3873.32,58,F,Married,69203.0,Bachelor,Doctor,8,Compact,Highway,1,1,1,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000109,POL_497887,4386.67,53,F,Widowed,25885.0,High School,Business,12,Large,Parking Lot,1,0,0,"Tree fell on parked car during windstorm, roof damage",0
CLM_000110,POL_383060,4772.3193545959075,75,M,Divorced,46380.0,Bachelor,Engineer,17,Sports,Rural,0,1,1,Expensive medical treatment sought immediately after minor fender bender,1
CLM_000111,POL_771088,167.64,70,F,Divorced,44511.0,PhD,Retired,14,Sports,Rural,1,1,1,Hail damage to vehicle roof and windows during severe storm,0
CLM_000112,POL_821590,7829.905284728007,51,F,Single,54408.0,Bachelor,Doctor,9,Large,Highway,0,1,2,"Vehicle completely destroyed in minor collision, claiming total loss",1
CLM_000113,POL_684004,3262.81,53,F,Divorced,45902.0,Bachelor,Other,15,Luxury,Rural,1,0,1,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000114,POL_330283,119953.95,19,M,Single,48642.0,PhD,Retired,11,Compact,City,1,0,3,"Door ding in parking lot, small dent and paint scratch",0
CLM_000115,POL_817870,5233.292983158883,32,M,Divorced,62836.0,Bachelor,Student,19,Compact,Parking Lot,1,0,2,Expensive medical treatment sought immediately after minor fender bender,1
CLM_000116,POL_440035,4685.94,51,F,Married,27723.0,PhD,Retired,4,Large,Highway,1,0,2,"Door ding in parking lot, small dent and paint scratch",0
CLM_000117,POL_983794,2829.72,53,F,Single,64747.0,Bachelor,Engineer,1,Large,City,0,1,4,"Door ding in parking lot, small dent and paint scratch",0
CLM_000118,POL_905635,516.45,23,M,Single,72823.0,PhD,Other,9,Luxury,Rural,0,0,0,"Minor collision in parking garage, exchanged insurance information",0
CLM_000119,POL_913694,31393.44224153986,56,M,Married,82683.0,Bachelor,Engineer,0,Sports,City,1,1,1,"Vehicle completely destroyed in minor collision, claiming total loss",1
CLM_000120,POL_158655,9208.66,59,F,Single,20000.0,PhD,Retired,6,Mid-size,Rural,1,1,1,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000121,POL_340174,9764.88,68,F,Divorced,46342.0,High School,Teacher,16,Sports,Highway,1,0,1,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000122,POL_961722,761.98,68,M,Divorced,20000.0,PhD,Doctor,15,Compact,City,1,1,2,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000123,POL_133659,24445.26,75,M,Single,20000.0,Bachelor,Other,2,Large,Parking Lot,1,1,1,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000124,POL_944151,617.0147070635195,71,M,Divorced,52882.0,Bachelor,Teacher,13,Luxury,Highway,0,1,1,Expensive medical treatment sought immediately after minor fender bender,1
CLM_000125,POL_430776,7188.84,78,F,Widowed,42017.0,Master,Retired,9,Sports,City,0,1,1,Theft of vehicle contents including electronics and personal items,0
CLM_000126,POL_520651,178866.68117329624,29,M,Single,55997.0,PhD,Doctor,6,Luxury,City,1,1,6,Medical bills submitted from out-of-network providers at inflated rates,1
CLM_000127,POL_380746,674.65,20,F,Married,59723.0,High School,Business,16,Sports,Rural,0,1,2,Theft of vehicle contents including electronics and personal items,0
CLM_000128,POL_169403,1274.81,62,M,Widowed,74958.0,PhD,Teacher,5,Compact,Highway,1,1,3,"Collision with deer on rural highway, front end damage",0
CLM_000129,POL_321231,3461.57,35,M,Single,51078.0,PhD,Teacher,3,Mid-size,Highway,0,1,1,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000130,POL_694731,1400.78,57,M,Married,108467.0,High School,Retired,16,Luxury,Highway,1,1,0,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000131,POL_852787,291.2,38,M,Divorced,56128.0,PhD,Student,8,Luxury,Highway,1,1,3,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000132,POL_429963,3303.85,32,F,Married,86850.0,High School,Retired,3,Mid-size,Rural,0,1,0,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000133,POL_322955,605.8,50,F,Widowed,20000.0,High School,Teacher,6,Luxury,Parking Lot,0,1,0,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000134,POL_787277,12804.677018129389,52,M,Divorced,76995.0,PhD,Doctor,1,Luxury,Highway,1,1,2,"Vehicle completely destroyed in minor collision, claiming total loss",1
CLM_000135,POL_623481,750.59,43,F,Single,46385.0,PhD,Student,16,Sports,Rural,1,0,0,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000136,POL_514850,30482.3,25,M,Divorced,20000.0,Bachelor,Retired,7,Sports,Parking Lot,0,1,1,"Collision with deer on rural highway, front end damage",0
CLM_000137,POL_774079,920.69,53,M,Single,58411.0,Bachelor,Other,14,Mid-size,Parking Lot,1,1,2,"Minor collision in parking garage, exchanged insurance information",0
CLM_000138,POL_581141,1838.87,65,M,Single,43941.0,Master,Retired,14,Compact,Rural,0,1,2,"Door ding in parking lot, small dent and paint scratch",0
CLM_000139,POL_249811,10099.85,47,M,Married,61601.0,Master,Teacher,7,Luxury,Highway,1,1,2,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000140,POL_377746,470.46,40,F,Married,70222.0,PhD,Teacher,15,Compact,Parking Lot,1,1,1,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000141,POL_246413,10685.34789867401,59,M,Married,20217.0,High School,Business,18,Mid-size,Highway,0,1,4,Claiming luxury vehicle repairs for standard model car,1
CLM_000142,POL_358607,21177.91,61,M,Widowed,70298.0,Master,Retired,10,Mid-size,Highway,1,0,2,"Minor collision in parking garage, exchanged insurance information",0
CLM_000143,POL_881177,267.41,31,F,Widowed,50130.0,PhD,Teacher,1,Sports,City,1,1,2,Theft of vehicle contents including electronics and personal items,0
CLM_000144,POL_688637,3932.19,31,M,Married,77057.0,Master,Other,16,Luxury,Highway,0,1,2,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000145,POL_665158,4402.04,19,M,Widowed,45897.0,High School,Engineer,15,Large,City,1,1,0,Theft of vehicle contents including electronics and personal items,0
CLM_000146,POL_375504,27508.34245081529,72,M,Divorced,40592.0,PhD,Student,14,Mid-size,Parking Lot,0,1,3,Medical bills submitted from out-of-network providers at inflated rates,1
CLM_000147,POL_883300,466.18,54,F,Divorced,50541.0,High School,Engineer,12,Luxury,Rural,0,1,0,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000148,POL_712982,411.3,22,M,Widowed,52037.0,PhD,Student,14,Compact,City,0,1,1,Hail damage to vehicle roof and windows during severe storm,0
CLM_000149,POL_549245,6521.84,55,F,Widowed,36744.0,Master,Other,3,Sports,Rural,1,1,2,"Single vehicle accident due to road conditions, minor injuries",0
CLM_000150,POL_711878,4653.98,62,M,Divorced,40074.0,Bachelor,Retired,15,Compact,Parking Lot,0,1,0,"Collision with deer on rural highway, front end damage",0
CLM_000151,POL_518801,11753.464824754597,58,M,Single,25462.0,Master,Business,11,Mid-size,Highway,1,0,3,"Vehicle completely destroyed in minor collision, claiming total loss",1
CLM_000152,POL_479580,5012.41,79,F,Divorced,41307.0,Master,Teacher,3,Mid-size,Parking Lot,1,1,1,"Minor collision in parking garage, exchanged insurance information",0
CLM_000153,POL_329974,1074.88,71,M,Divorced,63526.0,Bachelor,Teacher,2,Compact,Rural,1,1,2,"Tree fell on parked car during windstorm, roof damage",0
CLM_000154,POL_245051,4223.34,77,M,Widowed,47253.0,Bachelor,Teacher,16,Mid-size,Parking Lot,1,1,2,"Vandalism to parked vehicle, broken windows and scratched paint",0
CLM_000155,POL_634277,8844.837418146917,78,F,Divorced,70181.0,PhD,Retired,17,Luxury,Highway,1,0,2,Medical bills submitted from out-of-network providers at inflated rates,1
CLM_000156,POL_617488,1020.93,64,F,Widowed,46291.0,PhD,Student,17,Mid-size,Parking Lot,1,1,1,"Collision with deer on rural highway, front end damage",0
CLM_000157,POL_195325,48955.24,31,F,Widowed,21370.0,High School,Other,16,Sports,Highway,1,1,0,Hail damage to vehicle roof and windows during severe storm,0
CLM_000158,POL_892495,6067.79,73,F,Married,61945.0,High School,Teacher,11,Luxury,City,0,1,0,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000159,POL_149405,499.22,56,F,Divorced,36528.0,Master,Engineer,3,Large,Rural,1,1,3,Theft of vehicle contents including electronics and personal items,0
CLM_000160,POL_214975,22493.902680686268,42,M,Single,45333.0,Bachelor,Teacher,11,Mid-size,Highway,0,1,1,Multiple claims filed in short time period with similar circumstances,1
CLM_000161,POL_260265,690.89,37,F,Married,74751.0,High School,Retired,19,Mid-size,Highway,1,1,1,"Side collision at intersection, driver and passenger minor injuries",0
CLM_000162,POL_757924,9707.24,19,M,Widowed,26783.0,Master,Other,14,Sports,Parking Lot,1,1,1,Theft of vehicle contents including electronics and personal items,0
CLM_000163,POL_267753,16947.8,56,M,Widowed,53295.0,Bachelor,Business,15,Sports,City,0,1,2,Theft of vehicle contents including electronics and personal items,0
CLM_000164,POL_930555,870.42,23,M,Single,49190.0,PhD,Other,4,Compact,Highway,0,1,4,Theft of vehicle contents including electronics and personal items,0
CLM_000165,POL_813536,12645.59,34,F,Widowed,64019.0,Master,Engineer,14,Compact,City,1,1,0,Theft of vehicle contents including electronics and personal items,0
CLM_000166,POL_542666,5536.8,76,F,Divorced,67103.0,PhD,Teacher,16,Compact,City,1,0,2,Theft of vehicle contents including electronics and personal items,0
CLM_000167,POL_725380,10230.11,42,M,Married,55277.0,High School,Teacher,17,Sports,Parking Lot,1,0,2,"Rear-ended at traffic light, moderate damage to bumper and trunk",0
CLM_000168,POL_166613,51286.84,74,F,Widowed,42793.0,High School,Doctor,4,Compact,Highway,1,1,2,"Collision with deer on rural highway, front end damage",0
CLM_000169,POL_503457,2063.0,45,F,Widowed,59467.0,Bachelor,Student,12,Compact,Parking Lot,0,1,2,"Door ding in parking lot, small dent and paint scratch",0
CLM_000170,POL_500156,2646.6011984322718,19,F,Single,76713.0,Master,Engineer,18,Large,Rural,0,1,3,"Vehicle completely destroyed in minor collision, claiming total loss",1
CLM_000171,POL_724834,785.04,52,F,Divorced,49454.0,PhD,Doctor,12,Compact,Rural,1,1,2,"Collision with deer on rural highway, front end damage",0
CLM_000172,POL_590785,876.8,54,M,Widowed,44655.0,Bachelor,Other,17,Mid-size,Highway,1,1,4,"Tree fell on parked car during windstorm, roof damage",0
CLM_000173,POL_654816,7683.913595493669,22,M,Single,57763.0,High School,Business,13,Sports,City,1,1,3,Exaggerated injury claims with inconsistent medical reports,1
